Values S16301150323, 15.03.2023 08.00
"Time, s"	FID A, pA	OvenTemp, °C
"00"00"	9.712	30.000
"00"10"	9.712	30.000
"00"20"	9.706	30.000
"00"30"	9.690	30.000
"00"40"	9.695	30.000
"00"50"	9.699	30.000
"00"60"	9.718	30.000
"00"70"	9.711	30.000
"00"80"	9.717	30.000
"00"90"	9.717	30.000
"01"00"	9.725	30.000
"01"10"	9.720	30.000
"01"20"	9.714	30.000
"01"30"	9.713	30.000
"01"40"	9.715	30.000
"01"50"	9.713	30.000
"01"60"	9.695	30.000
"01"70"	9.671	30.000
"01"80"	9.643	30.000
"01"90"	9.619	30.000
"02"00"	9.593	30.000
"02"10"	9.566	30.000
"02"20"	9.545	30.000
"02"30"	9.537	30.000
"02"40"	9.541	30.000
"02"50"	9.553	30.000
"02"60"	9.579	30.000
"02"70"	9.616	30.000
"02"80"	9.659	30.000
"02"90"	9.680	30.000
"03"00"	9.683	30.000
"03"10"	9.680	30.000
"03"20"	9.685	30.000
"03"30"	9.691	30.000
"03"40"	9.693	30.000
"03"50"	9.692	30.000
"03"60"	9.695	30.000
"03"70"	9.697	30.000
"03"80"	9.703	30.000
"03"90"	9.699	30.000
"04"00"	9.696	30.000
"04"10"	9.685	30.000
"04"20"	9.682	30.000
"04"30"	9.684	30.000
"04"40"	9.692	30.000
"04"50"	9.696	30.000
"04"60"	9.698	30.000
"04"70"	9.695	30.000
"04"80"	9.695	30.000
"04"90"	9.695	30.000
"05"00"	9.699	30.000
"05"10"	9.700	30.000
"05"20"	9.696	30.000
"05"30"	9.695	30.000
"05"40"	9.691	30.000
"05"50"	9.690	30.000
"05"60"	9.688	30.000
"05"70"	9.692	30.000
"05"80"	9.695	30.000
"05"90"	9.697	30.000
"06"00"	9.699	30.000
"06"10"	9.700	30.000
"06"20"	9.706	30.000
"06"30"	9.704	30.000
"06"40"	9.699	30.000
"06"50"	9.677	30.000
"06"60"	9.656	30.000
"06"70"	9.639	30.000
"06"80"	9.623	30.000
"06"90"	9.610	30.000
"07"00"	9.603	30.000
"07"10"	9.591	30.000
"07"20"	9.594	30.000
"07"30"	9.588	30.000
"07"40"	9.594	30.000
"07"50"	9.591	30.000
"07"60"	9.596	30.000
"07"70"	9.601	30.000
"07"80"	9.598	30.000
"07"90"	9.590	30.000
"08"00"	9.583	30.000
"08"10"	9.584	30.000
"08"20"	9.588	30.000
"08"30"	9.597	30.000
"08"40"	9.619	30.000
"08"50"	9.643	30.000
"08"60"	9.666	30.000
"08"70"	9.676	30.000
"08"80"	9.684	30.000
"08"90"	9.691	30.000
"09"00"	9.695	30.000
"09"10"	9.695	30.000
"09"20"	9.700	30.000
"09"30"	9.700	30.000
"09"40"	9.702	30.000
"09"50"	9.696	30.000
"09"60"	9.690	30.000
"09"70"	9.688	30.000
"09"80"	9.686	30.000
"09"90"	9.687	30.000
"10"00"	9.684	30.000
"10"10"	9.683	30.000
"10"20"	9.682	30.000
"10"30"	9.681	30.000
"10"40"	9.685	30.000
"10"50"	9.691	30.000
"10"60"	9.701	30.000
"10"70"	9.699	30.000
"10"80"	9.700	30.000
"10"90"	9.693	30.000
"11"00"	9.687	30.000
"11"10"	9.682	30.000
"11"20"	9.678	30.000
"11"30"	9.678	30.000
"11"40"	9.682	30.000
"11"50"	9.686	30.000
"11"60"	9.691	30.000
"11"70"	9.688	30.000
"11"80"	9.691	30.000
"11"90"	9.690	30.000
"12"00"	9.688	30.000
"12"10"	9.683	30.000
"12"20"	9.668	30.000
"12"30"	9.652	30.000
"12"40"	9.627	30.000
"12"50"	9.615	30.000
"12"60"	9.610	30.000
"12"70"	9.611	30.000
"12"80"	9.611	30.000
"12"90"	9.606	30.000
"13"00"	9.597	30.000
"13"10"	9.592	30.000
"13"20"	9.586	30.000
"13"30"	9.588	30.000
"13"40"	9.585	30.000
"13"50"	9.588	30.000
"13"60"	9.587	30.000
"13"70"	9.589	30.000
"13"80"	9.585	30.000
"13"90"	9.587	30.000
"14"00"	9.597	30.000
"14"10"	9.621	30.000
"14"20"	9.646	30.000
"14"30"	9.660	30.000
"14"40"	9.673	30.000
"14"50"	9.682	30.000
"14"60"	9.687	30.000
"14"70"	9.686	30.000
"14"80"	9.687	30.000
"14"90"	9.694	30.000
"15"00"	9.700	30.000
"15"10"	9.697	30.000
"15"20"	9.691	30.000
"15"30"	9.686	30.000
"15"40"	9.681	30.000
"15"50"	9.681	30.000
"15"60"	9.683	30.000
"15"70"	9.694	30.000
"15"80"	9.698	30.000
"15"90"	9.702	30.000
"16"00"	9.700	30.000
"16"10"	9.701	30.000
"16"20"	9.703	30.000
"16"30"	9.701	30.000
"16"40"	9.701	30.000
"16"50"	9.699	30.000
"16"60"	9.702	30.000
"16"70"	9.699	30.000
"16"80"	9.695	30.000
"16"90"	9.692	30.000
"17"00"	9.694	30.000
"17"10"	9.691	30.000
"17"20"	9.692	30.000
"17"30"	9.691	30.000
"17"40"	9.696	30.000
"17"50"	9.690	30.000
"17"60"	9.689	30.000
"17"70"	9.686	30.000
"17"80"	9.688	30.000
"17"90"	9.675	30.000
"18"00"	9.655	30.000
"18"10"	9.630	30.000
"18"20"	9.611	30.000
"18"30"	9.602	30.000
"18"40"	9.600	30.000
"18"50"	9.600	30.000
"18"60"	9.596	30.000
"18"70"	9.591	30.000
"18"80"	9.587	30.000
"18"90"	9.587	30.000
"19"00"	9.588	30.000
"19"10"	9.588	30.000
"19"20"	9.589	30.000
"19"30"	9.588	30.000
"19"40"	9.591	30.000
"19"50"	9.592	30.000
"19"60"	9.599	30.000
"19"70"	9.594	30.000
"19"80"	9.602	30.000
"19"90"	9.606	30.000
"20"00"	9.617	30.000
"20"10"	9.619	30.000
"20"20"	9.626	30.000
"20"30"	9.631	30.000
"20"40"	9.629	30.000
"20"50"	9.626	30.000
"20"60"	9.625	30.000
"20"70"	9.629	30.000
"20"80"	9.633	30.000
"20"90"	9.634	30.000
"21"00"	9.635	30.000
"21"10"	9.636	30.000
"21"20"	9.630	30.000
"21"30"	9.629	30.000
"21"40"	9.631	30.000
"21"50"	9.642	30.000
"21"60"	9.644	30.000
"21"70"	9.640	30.000
"21"80"	9.635	30.000
"21"90"	9.634	30.000
"22"00"	9.638	30.000
"22"10"	9.638	30.000
"22"20"	9.640	30.000
"22"30"	9.634	30.000
"22"40"	9.629	30.000
"22"50"	9.624	30.000
"22"60"	9.626	30.000
"22"70"	9.623	30.000
"22"80"	9.628	30.000
"22"90"	9.630	30.000
"23"00"	9.636	30.000
"23"10"	9.633	30.000
"23"20"	9.631	30.000
"23"30"	9.630	30.000
"23"40"	9.635	30.000
"23"50"	9.628	30.000
"23"60"	9.618	30.000
"23"70"	9.604	30.000
"23"80"	9.593	30.000
"23"90"	9.587	30.000
"24"00"	9.578	30.000
"24"10"	9.578	30.000
"24"20"	9.577	30.000
"24"30"	9.581	30.000
"24"40"	9.583	30.000
"24"50"	9.582	30.000
"24"60"	9.586	30.000
"24"70"	9.588	30.000
"24"80"	9.590	30.000
"24"90"	9.589	30.000
"25"00"	9.582	30.000
"25"10"	9.581	30.000
"25"20"	9.578	30.000
"25"30"	9.584	30.000
"25"40"	9.592	30.000
"25"50"	9.604	30.000
