Values Ethanol 5.0, 25.11.2022 15.55
"Time, s"	FID A, pA	OvenTemp, °C
"00"00"	11.948	30.000
"00"10"	11.948	30.000
"00"20"	11.948	30.000
"00"30"	11.951	30.000
"00"40"	11.955	30.000
"00"50"	11.952	30.000
"00"60"	11.946	30.000
"00"70"	11.938	30.000
"00"80"	11.949	30.000
"00"90"	11.949	30.000
"01"00"	11.953	30.000
"01"10"	11.948	30.000
"01"20"	11.949	30.000
"01"30"	11.950	30.000
"01"40"	11.952	30.000
"01"50"	11.954	30.000
"01"60"	11.954	30.000
"01"70"	11.954	30.000
"01"80"	11.954	30.000
"01"90"	11.954	30.000
"02"00"	11.959	30.000
"02"10"	11.961	30.000
"02"20"	11.959	30.000
"02"30"	11.954	30.000
"02"40"	11.955	30.000
"02"50"	11.959	30.000
"02"60"	11.957	30.000
"02"70"	11.954	30.000
"02"80"	11.951	30.000
"02"90"	11.951	30.000
"03"00"	11.954	30.000
"03"10"	11.956	30.000
"03"20"	11.956	30.000
"03"30"	11.954	30.000
"03"40"	11.953	30.000
"03"50"	11.958	30.000
"03"60"	11.959	30.000
"03"70"	11.959	30.000
"03"80"	11.954	30.000
"03"90"	11.951	30.000
"04"00"	11.951	30.000
"04"10"	11.951	30.000
"04"20"	11.955	30.000
"04"30"	11.959	30.000
"04"40"	11.961	30.000
"04"50"	11.959	30.000
"04"60"	11.960	30.000
"04"70"	11.958	30.000
"04"80"	11.956	30.000
"04"90"	11.953	30.000
"05"00"	11.951	30.000
"05"10"	11.950	30.000
"05"20"	11.950	30.000
"05"30"	11.952	30.000
"05"40"	11.954	30.000
"05"50"	11.952	30.000
"05"60"	11.953	30.000
"05"70"	11.951	30.000
"05"80"	11.950	30.000
"05"90"	11.953	30.000
"06"00"	11.953	30.000
"06"10"	11.953	30.000
"06"20"	11.949	30.000
"06"30"	11.950	30.000
"06"40"	11.953	30.000
"06"50"	11.956	30.000
"06"60"	11.956	30.000
"06"70"	11.955	30.000
"06"80"	11.953	30.000
"06"90"	11.951	30.000
"07"00"	11.953	30.000
"07"10"	11.958	30.000
"07"20"	11.961	30.000
"07"30"	11.956	30.000
"07"40"	11.951	30.000
"07"50"	11.950	30.000
"07"60"	11.952	30.000
"07"70"	11.951	30.000
"07"80"	11.953	30.000
"07"90"	11.952	30.000
"08"00"	11.954	30.000
"08"10"	11.948	30.000
"08"20"	11.945	30.000
"08"30"	11.942	30.000
"08"40"	11.944	30.000
"08"50"	11.946	30.000
"08"60"	11.945	30.000
"08"70"	11.943	30.000
"08"80"	11.942	30.000
"08"90"	11.945	30.000
"09"00"	11.948	30.000
"09"10"	11.950	30.000
"09"20"	11.953	30.000
"09"30"	11.950	30.000
"09"40"	11.944	30.000
"09"50"	11.939	30.000
"09"60"	11.942	30.000
"09"70"	11.951	30.000
"09"80"	11.961	30.000
"09"90"	11.963	30.000
"10"00"	11.977	30.000
"10"10"	11.970	30.000
"10"20"	11.968	30.000
"10"30"	11.951	30.000
"10"40"	11.947	30.000
"10"50"	11.943	30.000
"10"60"	11.940	30.000
"10"70"	11.941	30.000
"10"80"	11.946	30.000
"10"90"	11.953	30.000
"11"00"	11.956	30.000
"11"10"	11.956	30.000
"11"20"	11.952	30.000
"11"30"	11.954	30.000
"11"40"	11.952	30.000
"11"50"	11.955	30.000
"11"60"	11.954	30.000
"11"70"	11.956	30.000
"11"80"	11.952	30.000
"11"90"	11.954	30.000
"12"00"	11.956	30.000
"12"10"	11.961	30.000
"12"20"	11.959	30.000
"12"30"	11.957	30.000
"12"40"	11.958	30.000
"12"50"	11.955	30.000
"12"60"	11.951	30.000
"12"70"	11.949	30.000
"12"80"	11.950	30.000
"12"90"	11.955	30.000
"13"00"	11.953	30.000
"13"10"	11.953	30.000
"13"20"	11.952	30.000
"13"30"	11.956	30.000
"13"40"	11.960	30.000
"13"50"	11.960	30.000
"13"60"	11.952	30.000
"13"70"	11.943	30.000
"13"80"	11.942	30.000
"13"90"	11.943	30.000
"14"00"	11.946	30.000
"14"10"	11.946	30.000
"14"20"	11.957	30.000
"14"30"	11.966	30.000
"14"40"	11.968	30.000
