Values S15301200825stab, 20.08.2025 19.49
"Time, s"	FID A, pA	OvenTemp, °C
"00"00"	21.067	30.000
"00"10"	21.026	30.000
"00"20"	21.023	30.000
"00"30"	21.024	30.000
"00"40"	21.063	30.000
"00"50"	21.049	30.000
"00"60"	21.057	30.000
"00"70"	21.061	30.000
"00"80"	21.080	30.000
"00"90"	21.071	30.000
"01"00"	21.073	30.000
"01"10"	21.069	30.000
"01"20"	21.071	30.000
"01"30"	21.064	30.000
"01"40"	21.061	30.000
"01"50"	21.063	30.000
"01"60"	21.072	30.000
"01"70"	21.084	30.000
"01"80"	21.085	30.000
"01"90"	21.077	30.000
"02"00"	21.072	30.000
"02"10"	21.072	30.000
"02"20"	21.078	30.000
"02"30"	21.082	30.000
"02"40"	21.085	30.000
"02"50"	21.079	30.000
"02"60"	21.072	30.000
"02"70"	21.077	30.000
"02"80"	21.080	30.000
"02"90"	21.081	30.000
"03"00"	21.077	30.000
"03"10"	21.074	30.000
"03"20"	21.074	30.000
"03"30"	21.070	30.000
"03"40"	21.071	30.000
"03"50"	21.075	30.000
"03"60"	21.083	30.000
"03"70"	21.087	30.000
"03"80"	21.090	30.000
"03"90"	21.085	30.000
"04"00"	21.082	30.000
"04"10"	21.074	30.000
"04"20"	21.073	30.000
"04"30"	21.076	30.000
"04"40"	21.077	30.000
"04"50"	21.079	30.000
"04"60"	21.079	30.000
"04"70"	21.077	30.000
"04"80"	21.074	30.000
"04"90"	21.071	30.000
"05"00"	21.077	30.000
"05"10"	21.080	30.000
"05"20"	21.082	30.000
"05"30"	21.081	30.000
"05"40"	21.082	30.000
"05"50"	21.082	30.000
"05"60"	21.081	30.000
"05"70"	21.078	30.000
"05"80"	21.080	30.000
"05"90"	21.079	30.000
"06"00"	21.077	30.000
"06"10"	21.070	30.000
"06"20"	21.072	30.000
"06"30"	21.075	30.000
"06"40"	21.077	30.000
"06"50"	21.077	30.000
"06"60"	21.080	30.000
"06"70"	21.086	30.000
"06"80"	21.090	30.000
"06"90"	21.087	30.000
"07"00"	21.081	30.000
"07"10"	21.079	30.000
"07"20"	21.078	30.000
"07"30"	21.083	30.000
"07"40"	21.086	30.000
"07"50"	21.084	30.000
"07"60"	21.082	30.000
"07"70"	21.075	30.000
"07"80"	21.073	30.000
"07"90"	21.070	30.000
"08"00"	21.070	30.000
"08"10"	21.072	30.000
"08"20"	21.075	30.000
"08"30"	21.074	30.000
"08"40"	21.076	30.000
"08"50"	21.076	30.000
"08"60"	21.089	30.000
"08"70"	21.090	30.000
"08"80"	21.086	30.000
"08"90"	21.079	30.000
"09"00"	21.079	30.000
"09"10"	21.079	30.000
"09"20"	21.076	30.000
"09"30"	21.071	30.000
"09"40"	21.068	30.000
"09"50"	21.068	30.000
"09"60"	21.075	30.000
"09"70"	21.080	30.000
"09"80"	21.080	30.000
"09"90"	21.077	30.000
"10"00"	21.080	30.000
"10"10"	21.085	30.000
"10"20"	21.085	30.000
"10"30"	21.083	30.000
"10"40"	21.084	30.000
"10"50"	21.094	30.000
"10"60"	21.092	30.000
"10"70"	21.088	30.000
"10"80"	21.073	30.000
"10"90"	21.067	30.000
"11"00"	21.064	30.000
"11"10"	21.065	30.000
"11"20"	21.075	30.000
"11"30"	21.079	30.000
"11"40"	21.082	30.000
"11"50"	21.080	30.000
"11"60"	21.083	30.000
"11"70"	21.084	30.000
"11"80"	21.082	30.000
"11"90"	21.079	30.000
"12"00"	21.081	30.000
"12"10"	21.075	30.000
"12"20"	21.070	30.000
"12"30"	21.069	30.000
"12"40"	21.074	30.000
"12"50"	21.079	30.000
"12"60"	21.077	30.000
"12"70"	21.079	30.000
"12"80"	21.078	30.000
"12"90"	21.083	30.000
"13"00"	21.084	30.000
"13"10"	21.082	30.000
"13"20"	21.080	30.000
